SEQ,Round,Turn,Entity,Bob cash,Pete cash,Nel cash,Sue cash,Mal cash,Bob net,Pete net,Nel net,Sue net,Mal net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train ,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or
106,2,1,Pennsylvania,64,11,14,22,29,656,749,825,829,773,168,312,740,0,0,195,0,0,145,0,160,0,0,0,0,120,0,0,140,0,74,66,74,34,34,121,34,34,82,34,0,0,0,0,0,0,0,0,0,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,11,2.16,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.71,0.00
107,2,2,Baltimore & Ohio,64,11,14,22,29,656,749,825,829,773,248,312,740,0,0,195,0,0,145,0,160,0,0,0,0,120,0,0,140,0,74,66,74,34,34,121,34,34,82,34,0,0,0,0,0,0,0,0,0,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,11,2.16,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.71,0.00
108,2,3,Chesapeake & Ohio,64,11,14,57,64,656,749,825,904,848,248,312,490,0,0,195,0,0,145,0,160,0,70,0,0,120,0,0,140,0,74,66,82,34,34,121,34,34,82,34,0,0,15,0,0,0,0,0,0,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,12,2.16,0.00,0.85,0.00,0.00,0.99,0.00,0.00,1.71,0.00
109,2,4,Boston & Maine,64,11,30,57,80,656,749,857,904,880,248,95,490,0,0,195,0,0,145,0,160,80,70,0,0,120,0,0,140,0,74,74,82,34,34,121,34,34,82,34,0,16,15,0,0,0,0,0,0,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,13,2.16,1.08,0.85,0.00,0.00,0.99,0.00,0.00,1.71,0.00
110,3,0,New York Central,64,11,120,111,116,656,749,1007,994,940,248,95,490,0,0,35,0,0,145,0,160,80,70,0,0,180,0,0,140,0,74,74,82,34,34,133,34,34,82,34,0,0,0,0,0,30,0,0,0,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,14,2.16,1.08,0.85,0.00,0.00,1.35,0.00,0.00,1.71,0.00
111,3,1,Pennsylvania,64,182,120,111,116,656,1001,1007,994,940,248,95,490,0,0,35,0,0,0,0,160,80,70,0,0,180,0,0,190,0,74,74,82,34,34,133,34,34,91,34,0,0,0,0,0,30,0,0,28,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,15,2.16,1.08,0.85,0.00,0.00,1.35,0.00,0.00,2.09,0.00
112,3,2,Chesapeake & Ohio,64,182,120,156,161,656,1001,1007,1084,1030,248,95,335,0,0,35,0,0,0,0,160,80,90,0,0,180,0,0,190,0,74,74,91,34,34,133,34,34,91,34,0,0,18,0,0,30,0,0,28,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,16,2.16,1.08,0.99,0.00,0.00,1.35,0.00,0.00,2.09,0.00
113,3,3,Baltimore & Ohio,224,182,140,176,161,880,1001,1035,1112,1030,248,95,335,0,0,35,0,0,0,0,200,80,90,0,0,180,0,0,190,0,82,74,91,34,34,133,34,34,91,34,28,0,18,0,0,30,0,0,28,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,16,2.44,1.08,0.99,0.00,0.00,1.35,0.00,0.00,2.09,0.00
114,3,4,Boston & Maine,224,182,160,176,181,880,1001,1071,1112,1066,248,75,335,0,0,35,0,0,0,0,200,100,90,0,0,180,0,0,190,0,82,82,91,34,34,133,34,34,91,34,28,18,18,0,0,30,0,0,28,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,16,2.44,1.22,0.99,0.00,0.00,1.35,0.00,0.00,2.09,0.00
119,1,4,Bob,2,91,28,28,33,880,1001,1071,1112,1050,248,75,335,0,0,35,666,0,0,0,200,100,90,0,0,180,0,0,190,0,82,74,91,34,34,133,74,34,91,34,0,-8,0,0,0,0,0,0,0,0,0,6,0,10,10,0,1,10,0,10,0,0,0,0,0,0,0,0,0,0,16,2.44,1.35,0.99,0.00,0.00,1.35,0.00,0.00,2.09,0.00
